Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hoels.com,,?,,com,
Wrong TLD,hotels.de,216.87.148.114,US,UNITED STATES,cluster3.eu.messagelabs.com,de,
Wrong TLD,hotels.edu,,?,,edu,
Wrong TLD,hotels.es,204.74.99.101,US,UNITED STATES,,es,
Wrong TLD,hotels.fr,216.251.127.29,US,UNITED STATES,mx1a.expedia.com,fr,
Wrong TLD,hotels.it,216.251.127.31,US,UNITED STATES,mx1a.expedia.com,it,
Wrong TLD,hotels.jp,85.255.193.17,BE,BELGIUM,relay.resto.be,jp,
Wrong TLD,hotels.net,204.74.99.101,US,UNITED STATES,mail.hotels.com,net,
Wrong TLD,hotels.nl,193.222.137.35,NL,NETHERLANDS,alt1.aspmx.l.google.com,nl,
Wrong TLD,hotels.no,185.26.230.129,,,no,
Wrong TLD,hotels.org,204.74.99.101,US,UNITED STATES,,org,
Wrong TLD,hotels.ru,82.202.162.159,RU,RUSSIAN FEDERATION,mail.hotels.ru,ru,
Wrong TLD,hotels.se,,?,mx1a.expedia.com,se,
Wrong TLD,hotels.us,173.193.191.230,US,UNITED STATES,mx174.m1bp.com,us,

